IPCC,UN,WMO,iso3_code,common_name,wikipedia_url,cpdb_url
IPCC,UN,"WMO State",GBR,"United Kingdom",https://en.wikipedia.org/wiki/United_Kingdom,https://www.wmo.int/cpdb/dashboard/united-kingdom-of-great-britain-and-northern-ireland
IPCC,UN,"WMO State",USA,"United States",https://en.wikipedia.org/wiki/United_States,https://www.wmo.int/cpdb/dashboard/united-states-of-america
IPCC,UN,"WMO State",URY,Uruguay,https://en.wikipedia.org/wiki/Uruguay,https://www.wmo.int/cpdb/dashboard/uruguay
IPCC,UN,"WMO State",UZB,Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan,https://www.wmo.int/cpdb/dashboard/uzbekistan
IPCC,UN,"WMO State",VUT,Vanuatu,https://en.wikipedia.org/wiki/Vanuatu,https://www.wmo.int/cpdb/dashboard/vanuatu
IPCC,UN,"WMO State",VEN,Venezuela,https://en.wikipedia.org/wiki/Venezuela,https://www.wmo.int/cpdb/dashboard/venezuela-bolivarian-republic-of
IPCC,UN,"WMO State",VNM,Vietnam,https://en.wikipedia.org/wiki/Vietnam,https://www.wmo.int/cpdb/dashboard/viet-nam
IPCC,UN,"WMO State",YEM,Yemen,https://en.wikipedia.org/wiki/Yemen,https://www.wmo.int/cpdb/dashboard/yemen
IPCC,UN,"WMO State",ZMB,Zambia,https://en.wikipedia.org/wiki/Zambia,https://www.wmo.int/cpdb/dashboard/zambia
IPCC,UN,"WMO State",ZWE,Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,https://www.wmo.int/cpdb/dashboard/zimbabwe
IPCC,"NOT UN","WMO State",COK,"Cook Islands",https://en.wikipedia.org/wiki/Cook_Islands,https://www.wmo.int/cpdb/dashboard/cook-islands
IPCC,"NOT UN","WMO State",NIU,Niue,https://en.wikipedia.org/wiki/Niue,https://www.wmo.int/cpdb/dashboard/niue
