"ISO Country Code","English Country Name","French Country Name","Date of Membership","CPDB URL"
"SWZ","Swaziland","Swaziland","1982-11-02 00:00:00","https://www.wmo.int/cpdb/dashboard/swaziland"
"SWE","Sweden","Suède","1948-11-10 00:00:00","https://www.wmo.int/cpdb/dashboard/sweden"
"CHE","Switzerland","Suisse","1949-02-23 00:00:00","https://www.wmo.int/cpdb/dashboard/switzerland"
"SYR","Syrian Arab Republic","République arabe syrienne","1952-07-16 00:00:00","https://www.wmo.int/cpdb/dashboard/syrian-arab-republic"
"TJK","Tajikistan","Tadjikistan","1993-08-10 00:00:00","https://www.wmo.int/cpdb/dashboard/tajikistan"
"THA","Thailand","Thaïlande","1949-07-11 00:00:00","https://www.wmo.int/cpdb/dashboard/thailand"
"MKD","The former Yugoslav Republic of Macedonia","Ex-République yougoslave de Macédoine","1993-06-01 00:00:00","https://www.wmo.int/cpdb/dashboard/the-former-yugoslav-republic-of-macedonia"
"TLS","Timor-Leste","Timor-Leste","2009-12-04 00:00:00","https://www.wmo.int/cpdb/dashboard/timor-leste"
"TGO","Togo","Togo","1960-10-28 00:00:00","https://www.wmo.int/cpdb/dashboard/togo"
"TON","Tonga","Tonga","1996-02-25 00:00:00","https://www.wmo.int/cpdb/dashboard/tonga"
"TTO","Trinidad and Tobago","Trinité-et-Tobago","1963-02-01 00:00:00","https://www.wmo.int/cpdb/dashboard/trinidad-and-tobago"
"TUN","Tunisia","Tunisie","1957-01-22 00:00:00","https://www.wmo.int/cpdb/dashboard/tunisia"
"TUR","Turkey","Turquie","1949-08-05 00:00:00","https://www.wmo.int/cpdb/dashboard/turkey"
"TKM","Turkmenistan","Turkménistan","1992-12-04 00:00:00","https://www.wmo.int/cpdb/dashboard/turkmenistan"
"TUV","Tuvalu","Tuvalu","2012-09-22 00:00:00","https://www.wmo.int/cpdb/dashboard/tuvalu"
"UGA","Uganda","Ouganda","1963-03-15 00:00:00","https://www.wmo.int/cpdb/dashboard/uganda"
"UKR","Ukraine","Ukraine","1948-04-12 00:00:00","https://www.wmo.int/cpdb/dashboard/ukraine"
"ARE","United Arab Emirates","Emirats Arabes Unis","1986-12-17 00:00:00","https://www.wmo.int/cpdb/dashboard/united-arab-emirates"
"GBR","United Kingdom of Great Britain and Northern Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","1948-12-14 00:00:00","https://www.wmo.int/cpdb/dashboard/united-kingdom-of-great-britain-and-northern-ireland"
"TZA","United Republic of Tanzania","République-Unie de Tanzanie","1962-09-14 00:00:00","https://www.wmo.int/cpdb/dashboard/united-republic-of-tanzania"
"USA","United States of America","Etats-Unis d'Amérique","1949-05-04 00:00:00","https://www.wmo.int/cpdb/dashboard/united-states-of-america"
"URY","Uruguay","Uruguay","1951-01-11 00:00:00","https://www.wmo.int/cpdb/dashboard/uruguay"
"UZB","Uzbekistan","Ouzbékistan","1992-12-23 00:00:00","https://www.wmo.int/cpdb/dashboard/uzbekistan"
"VUT","Vanuatu","Vanuatu","1982-06-24 00:00:00","https://www.wmo.int/cpdb/dashboard/vanuatu"
"VEN","Venezuela, Bolivarian Republic of","Venezuela, République bolivarienne du","1950-06-16 00:00:00","https://www.wmo.int/cpdb/dashboard/venezuela-bolivarian-republic-of"
"VNM","Viet Nam","Viet Nam","1975-07-08 00:00:00","https://www.wmo.int/cpdb/dashboard/viet-nam"
"YEM","Yemen","Yémen","1971-07-08 00:00:00","https://www.wmo.int/cpdb/dashboard/yemen"
"ZMB","Zambia","Zambie","1964-12-28 00:00:00","https://www.wmo.int/cpdb/dashboard/zambia"
"ZWE","Zimbabwe","Zimbabwe","1981-01-12 00:00:00","https://www.wmo.int/cpdb/dashboard/zimbabwe"
