line 939 column 1 - Warning: <table> lacks "summary" attribute
line 941 column 211 - Warning: <img> proprietary attribute "srcset"
line 941 column 211 - Warning: <img> proprietary attribute "data-file-width"
line 941 column 211 - Warning: <img> proprietary attribute "data-file-height"
line 951 column 1 - Warning: <table> lacks "summary" attribute
line 953 column 150 - Warning: <img> proprietary attribute "srcset"
line 953 column 150 - Warning: <img> proprietary attribute "data-file-width"
line 953 column 150 - Warning: <img> proprietary attribute "data-file-height"
line 961 column 1 - Warning: <table> lacks "summary" attribute
line 963 column 163 - Warning: <img> proprietary attribute "srcset"
line 963 column 163 - Warning: <img> proprietary attribute "data-file-width"
line 963 column 163 - Warning: <img> proprietary attribute "data-file-height"
line 971 column 1 - Warning: <table> lacks "summary" attribute
line 973 column 146 - Warning: <img> proprietary attribute "srcset"
line 973 column 146 - Warning: <img> proprietary attribute "data-file-width"
line 973 column 146 - Warning: <img> proprietary attribute "data-file-height"
line 981 column 1 - Warning: <table> lacks "summary" attribute
line 983 column 149 - Warning: <img> proprietary attribute "srcset"
line 983 column 149 - Warning: <img> proprietary attribute "data-file-width"
line 983 column 149 - Warning: <img> proprietary attribute "data-file-height"
line 993 column 1 - Warning: <table> lacks "summary" attribute
line 995 column 170 - Warning: <img> proprietary attribute "srcset"
line 995 column 170 - Warning: <img> proprietary attribute "data-file-width"
line 995 column 170 - Warning: <img> proprietary attribute "data-file-height"
line 1003 column 1 - Warning: <table> lacks "summary" attribute
line 1005 column 169 - Warning: <img> proprietary attribute "srcset"
line 1005 column 169 - Warning: <img> proprietary attribute "data-file-width"
line 1005 column 169 - Warning: <img> proprietary attribute "data-file-height"
line 1013 column 1 - Warning: <table> lacks "summary" attribute
line 1015 column 166 - Warning: <img> proprietary attribute "srcset"
line 1015 column 166 - Warning: <img> proprietary attribute "data-file-width"
line 1015 column 166 - Warning: <img> proprietary attribute "data-file-height"
line 1023 column 1 - Warning: <table> lacks "summary" attribute
line 1025 column 165 - Warning: <img> proprietary attribute "srcset"
line 1025 column 165 - Warning: <img> proprietary attribute "data-file-width"
line 1025 column 165 - Warning: <img> proprietary attribute "data-file-height"
line 1035 column 1 - Warning: <table> lacks "summary" attribute
line 1037 column 169 - Warning: <img> proprietary attribute "srcset"
line 1037 column 169 - Warning: <img> proprietary attribute "data-file-width"
line 1037 column 169 - Warning: <img> proprietary attribute "data-file-height"
line 1045 column 1 - Warning: <table> lacks "summary" attribute
line 1047 column 182 - Warning: <img> proprietary attribute "srcset"
line 1047 column 182 - Warning: <img> proprietary attribute "data-file-width"
line 1047 column 182 - Warning: <img> proprietary attribute "data-file-height"
line 1055 column 1 - Warning: <table> lacks "summary" attribute
line 1057 column 184 - Warning: <img> proprietary attribute "srcset"
line 1057 column 184 - Warning: <img> proprietary attribute "data-file-width"
line 1057 column 184 - Warning: <img> proprietary attribute "data-file-height"
line 1065 column 1 - Warning: <table> lacks "summary" attribute
line 1067 column 154 - Warning: <img> proprietary attribute "srcset"
line 1067 column 154 - Warning: <img> proprietary attribute "data-file-width"
line 1067 column 154 - Warning: <img> proprietary attribute "data-file-height"
line 1077 column 1 - Warning: <table> lacks "summary" attribute
line 1079 column 160 - Warning: <img> proprietary attribute "srcset"
line 1079 column 160 - Warning: <img> proprietary attribute "data-file-width"
line 1079 column 160 - Warning: <img> proprietary attribute "data-file-height"
line 1087 column 1 - Warning: <table> lacks "summary" attribute
line 1089 column 172 - Warning: <img> proprietary attribute "srcset"
line 1089 column 172 - Warning: <img> proprietary attribute "data-file-width"
line 1089 column 172 - Warning: <img> proprietary attribute "data-file-height"
line 1097 column 1 - Warning: <table> lacks "summary" attribute
line 1099 column 166 - Warning: <img> proprietary attribute "srcset"
line 1099 column 166 - Warning: <img> proprietary attribute "data-file-width"
line 1099 column 166 - Warning: <img> proprietary attribute "data-file-height"
line 1107 column 1 - Warning: <table> lacks "summary" attribute
line 1109 column 161 - Warning: <img> proprietary attribute "srcset"
line 1109 column 161 - Warning: <img> proprietary attribute "data-file-width"
line 1109 column 161 - Warning: <img> proprietary attribute "data-file-height"
